humanReadable,scannable,aisle,bay,tier,position,pickPathModifier,img
W2 AA 35 D 1,W2AA35D1,AA,35,D,1,42,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 36 A 1,W2AA36A1,AA,36,A,1,40,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 36 B 1,W2AA36B1,AA,36,B,1,41,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 36 C 1,W2AA36C1,AA,36,C,1,42,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 36 D 1,W2AA36D1,AA,36,D,1,43,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 37 A 1,W2AA37A1,AA,37,A,1,41,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 37 B 1,W2AA37B1,AA,37,B,1,42,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 37 C 1,W2AA37C1,AA,37,C,1,43,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 37 D 1,W2AA37D1,AA,37,D,1,44,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 38 A 1,W2AA38A1,AA,38,A,1,42,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 38 B 1,W2AA38B1,AA,38,B,1,43,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 38 C 1,W2AA38C1,AA,38,C,1,44,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 38 D 1,W2AA38D1,AA,38,D,1,45,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 39 A 1,W2AA39A1,AA,39,A,1,43,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 39 B 1,W2AA39B1,AA,39,B,1,44,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 39 C 1,W2AA39C1,AA,39,C,1,45,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 39 D 1,W2AA39D1,AA,39,D,1,46,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 40 A 1,W2AA40A1,AA,40,A,1,44,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 40 B 1,W2AA40B1,AA,40,B,1,45,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 40 C 1,W2AA40C1,AA,40,C,1,46,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 40 D 1,W2AA40D1,AA,40,D,1,47,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 41 A 1,W2AA41A1,AA,41,A,1,45,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 41 B 1,W2AA41B1,AA,41,B,1,46,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 41 C 1,W2AA41C1,AA,41,C,1,47,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 41 D 1,W2AA41D1,AA,41,D,1,48,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 42 A 1,W2AA42A1,AA,42,A,1,46,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 42 B 1,W2AA42B1,AA,42,B,1,47,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 42 C 1,W2AA42C1,AA,42,C,1,48,C:\Users\ironman\Desktop\svgtopng\C1.png
